Dataset,DATASET_ID,PLATFORM,TITLE,SUMMARY,TAXON,DATASET_TYPE,PUBMED,Website,Sample Number,AGE,ALCOHOL,RECURRENT,OS,Grade,HPV+,HPV-,Race,Gender,Smoking,Stage M,Stage N,Stage T,TUMOR_SITE|HYPOPHARYNX,TUMOR_SITE|LARYNX,TUMOR_SITE|ORAL CAVITY,TUMOR_SITE|OROPHARYNX,Non_empty,Info
GSE55547,200055547,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version);,Gene expression profiling of HPV-negative oropharyngeal cancers and Normal benign uvula tonsil,Head and neck cancer (HNC) is the fifth most common malignancy worldwide with an annual mortality rate of 200000. About 90% of HNC can be classified as head and neck squamous cell carcinomas (HNSCC) of which approximately 75% are attributed to alcohol and tobacco consumption and 25 are associated with human papillomavirus (HPV) predominantly HPV16. HPV-associated OPC have better prognosis and a more favorable response to therapy as compared to HPV-negative tumors. Differences in risk factors age of presentation clinical behavior and gene expression profiles indicate that HPV-positive and HPV-negative tumors develop via different molecular mechanisms and are biologically distinct. This study aimed to compare the gene expression profiles of HPV-negative oropharyngeal squamous cell carcinoma (OPC) and normal benign uvula/tonsil tissues and determine what biological processes and pathways are affected in HPV-negative OPCs.,Homo sapiens,Microarray,25899179,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55547,20,,,,,,,Y,Y,Y,,,,,,,,Y,4,
GSE55545,200055545,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version);,Gene expression profiling of HPV-inactive and HPV-negative oropharyngeal cancers,Head and neck cancer (HNC) is the fifth most common malignancy worldwide with an annual mortality rate of 200000. About 90% of HNC can be classified as head and neck squamous cell carcinomas (HNSCC) of which approximately 75% are attributed to alcohol and tobacco consumption and 25 are associated with human papillomavirus (HPV) predominantly HPV16. HPV-associated OPC have better prognosis and a more favorable response to therapy as compared to HPV-negative tumors. Viral oncoproteins are capable of transforming primary human keratinocytes from either genital or oral epithelia in vitro and most likely play the same role in vivo by disrupting cell-cycle regulatory pathways leading to a genetic progression to ano-genital cancer and OPC. However the precise mechanisms by which HPV mediates malignant transformation of keratinocytes in the upper digestive tract epithelia are not entirely clear.  HPV E7-mediated inactivation of pRb results in overexpression of p16INK4A which is commonly used as a clinical surrogate marker for HPV positivity/activity. However high p16INK4A alone has insufficient sensitivity and specificity as a biomarker of HPV positivity in different mucosal sub-sites of HNC. Therefore increasing emphasis is being placed on the assessment of viral load and E7 oncogene expression resulting in further classification of HPV positive OPC as HPV-active and HPV-inactive. Differences in risk factors age of presentation clinical behavior and gene expression profiles indicate that HPV-positive and HPV-negative tumors develop via different molecular mechanisms and are biologically distinct. This study aimed to compare the gene expression profiles of HPV-negative and HPV-inactive OPCs from both African American and European American patients and determine their biological and racial differences.,Homo sapiens,Microarray,25899179,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55545,24,,,,,,,Y,Y,Y,,,,,,,,Y,4,
GSE9349,200009349,[HG-Focus] Affymetrix Human HG-Focus Target Array;,Metastasized vs. non-metastasized primary head and neck squamous cell carcinomas: pathway-based gene expression analysis,Gene expression patterns of 11 metastazised tumors of the head and neck region were compared to 11 non-metastasized tumors Keywords: disease state analysis,Homo sapiens,Microarray,18544165,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE9349,22,,,,,,,,,,,,,,,Y,Y,Y,3,
GSE31056,200031056,[HG-U133_Plus_2] Affymetrix GeneChip Human Genome HG-U133 Plus 2 Array [Brainarray Version 12];,A gene signature in histologically normal surgical margins is predictive of oral carcinoma recurrence,Samples were prospectively collected from patients with histologically normal surgical resection margins. 96 tissue samples (histologically normal margins oral carcinoma and adjacent normal tissues) from 24 patients comprised the training set. Our study design was guided by the hypothesis that the expression of genes present in oral squamous cell carcinoma (OSCC) but not in healthy oral tissues would be indicative of recurrence in advance of histological alteration. We used meta-analysis of five published microarray data sets (GEO accession GDS2520 Kuriakose et al. 2004; GDS1584 Toruner et al. 2004; GSE6791 Pyeon et al. 2007; GSE9844 Ye et al. 2008; and GSE10121 Sticht et al. 2008) in conjunction with the current training set to identify genes reliably over-expressed in OSCC. This reduced gene set was used to train a risk model to predict recurrence based on over-expression of a subset of these genes in histologically normal surgical resection margins. Validation of the risk signature was performed using quantitative real-time reverse-transcription PCR in an independent set of 136 samples from an independent cohort of 30 patients.,Homo sapiens,Microarray,21989116,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31056,96,,,Y,,Y,,,,,,,,,,,Y,,3,
GSE52915,200052915,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,PARVB overexpression increases migration capability and defines high risks for endophytic growth and metastasis in tongue squamous cell carcinoma.,Tongue squamous cell carcinoma (TSCC) varies in characteristics even in early stages and is mainly classified into three subtypes which are superficial exophytic and endophytic types based on a macroscopic appearance of tumor growth.Of these subtypes endophytic tumor has a poorer prognosis because of its invasive feature and higher frequency to have metastasis. To understand a molecular mechanism of endophytic subtype and identify biomarkers we performed comprehensive microarray analysis for mRNAs from clinical biopsy sampleswhich were classified into subtypes and found overexpression of parvin-beta (PARVB) gene significantly related to endophytic type. PARVB is known to play a critical role in actin reorganization and focal adhesions. Knocking down PARVB expression in vitrocaused apparent decreases in cell migration and wound healing implying that PARVB has a crucial role in cellular motility. Moreover metastasis-free survival was significantly lowered in patients with higher PARVB expression. Therefore overexpression of PARVB is a candidate biomarker for endophytic tumor and metastasis and may be clinically applicable for decision making of an adjuvant therapy in TSCC.,Homo sapiens,Microarray,25422907,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52915,27,,,,,,,,,Y,,,,Y,,,Y,,3,
GSE30784,200030784,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,Gene expression profiling of oral squamous cell carcinoma (OSCC),OSCC is associated with substantial mortality and morbidity. To identify potential biomarkers for the early detection of invasive OSCC we compared the gene expressions of OSCC oral dysplasia and normal oral tissue from patients without oral cancer or preneoplastic oral lesions (controls). Results provided models of gene expression to distinguish OSCC from controls.,Homo sapiens,Microarray,18669583,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30784,229,Y,,,,,,,,Y,,,,,,,Y,,3,
GSE51010,200051010,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;[HG-Focus] Affymetrix Human HG-Focus Target Array;,Gene expression profiling reveals biological pathways responsible for phenotypic heterogeneity between UK and Sri Lankan OSCC,Background: Oral squamous cell carcinoma (OSCC) is a major world health problem with over 400000 new cases diagnosed annually.  Despite advances in surgery and chemo-radiotherapy the 5 year survival has remained roughly constant at approximately 50% for several decades.  The disease is characterized by both clinical and genetic heterogeneity so elucidating the molecular basis of this heterogeneity would have significant clinical implications.  It is well recognized that OSCCs from Asia that are associated with betel quid chewing are phenotypically distinct from those from the West that are predominantly caused by smoking/drinking but the genetic basis of these differences are largely unknown. The aim of this study is to examine the most related genetic factors carcinogenic related pathways and molecular processes that might be responsible for the phenotypic heterogeneity of OSCC between UK and Sri Lankan population groups.   Methods: We have compared the gene expression profiles of OSCCs and normal oral mucosal tissues from both Sri Lankan and UK individuals using Affymetrix gene expression arrays. Results: The gene expression profiles of UK and Sri Lankan OSCC are similar in many respects to other oral cancer expression profiles reported in the literature and were mainly similar to each other.  However genes involved in tumor invasion metastasis and recurrence were more obviously associated with UK tumors as opposed to those from Sri Lanka.  Interestingly Ingenuity Pathway Analysis (IPA) revealed a highly activated cell-mediated immune response in both Sri Lankan normal and tumor samples relative to UK cohorts which may in part explain the less aggressive behavior of these betel quid-induced OSCCs.  Conclusion: The development of OSCCs in both UK and Sri Lankan populations appears largely mediated by similar biological pathways despite the differences related to race ethnicity lifestyle and/or exposure to environmental carcinogens. However IPA revealed a highly activated “Cell-mediated Immune Response” in Sri Lankan normal and tumor samples relative to UK cohorts. It seems likely therefore that any future attempts to personalize treatment for OSCC patients will need to be different in Western and Asian countries to reflect differences in gene expression and the immune status of the patients.,Homo sapiens,Microarray,25560800,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51010,56,Y,,,,,,,,Y,,,,,,,Y,,3,
GSE27020,200027020,[HG-U133A] Affymetrix Human Genome U133A Array;,Identification and validation of a multigene predictor of recurrence in primary laryngeal cancer.,Background: Local recurrence is the major manifestation of treatment failure in patients with operable laryngeal carcinoma. Established clinicopathological factors cannot sufficiently predict patients that are likely to recur after treatment. Additional tools are therefore required to accurately identify patients at high risk for recurrence.  Methods: Using Affymetrix U133A Genechips we profiled fresh-frozen tumor tissues from 59 patients with operable laryngeal cancer. All patients were treated locally with surgery with or without radiation therapy. We performed Cox regression proportional hazards modeling to identify multigene predictors of recurrence. The end-point of our analysis was disease-free survival (DFS). Gene models were directly validated in a separate similarly treated cohort of 50 patients using Affymetrix chips. In an attempt to further validate our results we profiled 12 selected genes of our model in formalin-fixed tumor tissues from an independent cohort of 75 patients using quantitative real time-polymerase chain reaction (qRT-PCR).   Results: We focused on genes univariately associated with DFS (p&lt;0.05) in the training set. Among several gene models comprising different numbers of genes a 30-gene model demonstrated optimal performance (log-rank p&lt;0.001). We directly applied these gene models to the validation set after adjusting for non-biological experimental variability and observed similar results. Specifically median DFS as predicted by the 30-gene model was 34 and 80 months for high- and low-risk patients respectively (p=0.01). Hazard Ratio (HR) for recurrence for the high-risk group was 3.87 (95% CI 1.28-11.73 p=0.017). Furthermore unsupervised hierarchical clustering of the 75 patients based on the qRT-PCR 12-gene profile yielded two groups which differed significantly in DFS (log-rank p=0.027). HR= for recurrence was 2.26 (95% CI 1.08-4.76 p=0.031).  Conclusion: We have established and validated gene models that can successfully stratify patients with laryngeal cancer based on their risk for recurrence. Thus patients with unfavorable prognosis when accurately identified could be ideal candidates for the application of more aggressive treatment modalities.,Homo sapiens,Microarray,23950933,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27020,109,Y,,,,Y,,,,,,,,,,Y,,,3,
GSE59102,200059102,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version);,HOX genes: potential candidates furthering the development of larynx squamous cell carcinoma.,Larynx squamous cell carcinoma (LSCC) is the second most aggressive cancer from head and neck (HSCC). Survival of LSCC patients has been found worsening albeit significant advances in technology and therapeutics were made. We sought to clarify new genetic targets driven the development of LSCC. Analyzing tumors revealed that eight members of the homeobox gene family (HOX) were expressed 200 times more in LSCC samples than in normal larynx tissue. qPCR analysis validated all transcriptomic findings for the HOX gene family. Receiver Operating Characteristic statistical method (ROC curve) predicted that 8 members of the HOX gene family differentiate tumors from their normal surrounding tissue. Enabling the comparison of patient clinics with gene expression data ROC curve analysis yet revealed that HOXC8 and HOXD11 genes are related to the tumor differentiation degree and regional lymph node metastasis respectively. From siRNA assay we found that HOXC8 and HOXD11 genes are essential for the expansion of FADU cell colonies. Our findings strongly suggest that members of the HOX family might be associated with the development of LSCC.,Homo sapiens,Microarray,26484211,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59102,42,,,,,,,,,Y,,,,,,Y,,Y,3,
GSE25727,200025727,Illumina HumanRef-8 WG-DASL v3.0;,Identification and validation of gene expression models that predict clinical outcome in patients with early stage laryngeal cancer,Background Despite improvement in diagnostic and therapeutic techniques a significant percentage of patients with early stage laryngeal cancer still recur after treatment. Gene expression models prognostic of recurrence risk could suggest which patients with early stage laryngeal cancer would be more appropriate for testing adjuvant strategies.  Patients and Methods Expression profiling using whole genome DASL arrays was performed on 56 formalin-fixed paraffin-embedded tumor samples of patients with early stage laryngeal cancer treated with surgery or radiation therapy. We split the samples into a training set and a validation set. Using the supervised principal components survival analysis in the first cohort we identified multiple gene expression profiles that predict the risk of recurrence. These profiles were then validated in the second independent cohort.  Results Gene models comprising different number of genes (40-100) identified a subgroup of patients who were at high risk of recurrence. Of these the best prognostic model distinguished between a high- and a low-risk group (median DFS: 92 and 123 months log rank p&lt;0.005 permutation p&lt;0.05) Hazard Ratio (HR): 8.51 (95% CI 1.01 to 71.77; p&lt;0.05). These models performed similarly in the independent cohort of our study (median DFS: 38 vs 161 months log rank p=0.018) HR=5.19 (95% CI 1.14 to 23.57; p&lt;0.05).  Conclusions We have identified gene expression prognostic models which can refine the estimation of a patient’s risk of recurrence. These findings if further validated should aid in patient stratification for testing adjuvant treatment strategies.,Homo sapiens,Microarray,22219018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25727,56,Y,,,,Y,,,,,,,,,,Y,,,3,
GSE10300,200010300,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,head and neck squamous cell carcinoma samples,Patient selection and specimen collection. Thirty-six freshly frozen tumor samples were prospectively collected from patients undergoing surgery or biopsy for HNSCC at the University of North Carolina (UNC) at Chapel Hill (21 patients) and Vanderbilt University (15 patients). All tissues were snap-frozen in liquid nitrogen within 30 minutes of surgical resection or biopsy and kept at -80oC until further processing. All patients consented to participation in this study under protocols approved by IRB at the two institutions. This set includes the samples previously deposited into GEO including 8 additional samples and adjustment for protocol changes. The original 36 before protocol changes (and thus unadjusted) are here: Slebos RJ Yi Y Ely K et al. Gene expression differences associated with human papillomavirus status in head and neck squamous cell carcinoma. Clin Cancer Res 2006;12(3 Pt 1):701-9. Keywords: disease state analysis,Homo sapiens,Microarray,19117988,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10300,44,,,Y,Y,,,,,,,,,,,,,,2,
GSE23036,200023036,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array;,Gene expression signatures and molecular markers associated with clinical outcome in locally advanced head and neck carcinoma,The purpose of our study was to identify expression signatures and molecular markers associated with tumor recurrence and survival in patients with locally advanced head and neck squamous cell carcinoma (HNSCC). We studied the expression profile of 63 pre-treatment tumor biopsies obtained from locally advanced HNSCCs treated with standard treatments. Cluster analysis identified three tumor subtypes associated with significant differences in local recurrence-free survival (LRFS) progression free-survival (PFS) and overall survival (OS). Tumor subtype 1 associated with short LRFS PFS and OS showed features of epithelial-mesenchymal transition and undifferentiation. It also overexpressed genes involved in cell adhesion NF-_B and integrin signalling. Tumor subtype 3 associated with longer LRFS PFS and OS showed a high degree of differentiation and overexpressed genes located in chromosomal regions 19q13 and 1q21. Tumor subtype 2 which had a clinical outcome intermediate between subtype 1 and subtype 3 overexpressed genes involved in branching morphogenesis. Receiver Operating Characteristic (ROC) analysis identified a subset of genes associated with local recurrence and survival. We validated the association between gene cluster classification and patient survival using two HNSCC data sets obtained from two independent patient cohorts. Finally using the gene expression profile of the pre-treatment tumor biopsy we generated a gene expression signature that could predict survival in locally advanced patients.,Homo sapiens,Microarray,22696598,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23036,68,,,,,Y,,,,Y,,,,,,,,,2,
GSE41116,200041116,[HuEx-1.0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version];,Integrative genomic characterization of oral squamous cell carcinoma identifies frequent somatic drivers (mRNA),Oral cavity squamous cell carcinoma (OSCC) is a disease with extensive morbidity and mortality and few useful molecular targets. Multiplatform integrated genomic analysis was performed in order to identify genomic drivers and molecularly discernible tumor subtypes. mRNA miRNA and methylation data are all submitted to GEO,Homo sapiens,Microarray,23619168,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41116,43,,,,,,,,,Y,,,,,,,Y,,2,Same as MD Anderson
GSE46802,200046802,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),Global analysis of DNA methylation changes during progression of oral tumorigenesis,Objectives: Earlier studies involving a priori gene selection have identified promoter regions deregulated by DNA methylation changes in oral squamous cell cancers (OSCCs) and precancers. Interrogation of global DNA methylation patterns for such specimens has not been reported though such analyses are needed to uncover novel molecular factors driving disease. Materials and Methods: We evaluated global DNA methylation patterns for 30 biopsies obtained from 10 patients undergoing surgical removal of an OSCC or carcinoma in situ (CIS). From a disease field in each patient we collected i) dysplastic ii) CIS or OSCC and iii) adjacent normal biopsies. DNA isolated from each biopsy was profiled for methylation status using the Illumina HumanMethylation27K platform. Results: Our data demonstrate that aberrant methylation of promoter CpG islands exists across oral precancer and OSCC genomes. Non-hierarchical clustering of all methylation data revealed distinct methylation patterns between the normal and the CIS/OSCC tissues (with results for dysplastic biopsies split between groups).  Multiple genes exhibiting recurrent aberrant DNA methylation were found for both dysplastic and CIS/OSCC groups and included enrichment for genes found in the WNT and MAPK signaling pathways. Conclusion: In identifying aberrant DNA methylation at the earliest stages of oral precancer and finding recurring epigenetic disruption of specific genes/pathways across our analyzed cohort we conclude that CpG methylation changes are a hallmark of oral cancer progression and that global DNA methylation analyses are an essential component for wider studies seeking to derive biomarkers or potentially druggable targets for improving oral cancer outcomes.,Homo sapiens,Microarray,24035722 25060540,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46802,60,,,,,,,,,Y,,,,,,,Y,,2,used series matrix because it was the same as the raw data
GSE13601,200013601,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array;,Oral tongue cancer gene expression profiling: Identification of novel potential prognosticators,Background: The present study is aimed at identifying potential candidate genes as prognostic markers in human oral tongue squamous cell carcinoma (SCC) by large scale gene expression profiling.   Methods: The gene expression profile of patients (n=37) with oral tongue SCC were analyzed using Affymetrix HG_U95Av2 high-density oligonucleotide arrays. Hierarchical clustering analyses failed to show significant segregation of patients. In patients (n=20) with available tumor and matched normal mucosa 77 genes were found to be differentially expressed (P&lt; 0.05) in the tongue tumor samples compared to their matched normal controls.  Among the 45 over-expressed genes MMP-1 encoding interstitial collagenase showed the highest level of increase (average: 34.18 folds). The 20 patients were then grouped into stage (early vs. late) and nodal disease (node positive vs. node negative) subgroups and genes differentially expressed in tumor vs. normal and between the subgroups were identified. Three genes GLUT3 HSAL2 and PACE4 were selected for their potential biological significance in a larger cohort of 49 patients by quantitative real-time RT-PCR.    Results: Using the criterion of two-fold or greater as overexpression 30.6% 24.5% and 26.5% of patients showed high levels of GLUT3 HSAL2 and PACE4 respectively.  Univariate analyses demonstrated that GLUT3 over-expression correlated with depth of invasion (P&lt;0.0001) tumor size (P=0.024) pathological stage (P=0.009) and recurrence (P=0.038).  HSAL2 was positively associated with depth of invasion (P=0.015) and advanced T stage (P=0.0467).   In survival studies only GLUT3 showed a prognostic value with disease-specific (P=0.049) relapse-free (P-0.0042) and overall survival (P=0.003).  PACE4 mRNA expression failed to show correlation with any of the relevant parameters.   Conclusions: The characterization of genes identified to be significant predictors of prognosis by oligonucleotide microarray and further validation by real-time RT-PCR offers a powerful strategy for identification of novel targets for prognostication and treatment of oral tongue carcinoma.  Keywords: gene expression profiling,Homo sapiens,Microarray,19138406,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13601,57,,,,,,,,,,,,,,,,Y,,1,
GSE9844,200009844,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,Transcriptomic Dissection of Tongue Squamous Cell Carcinoma,The head and neck / oral squamous cell carcinoma (HNOSCC) is a diverse group of cancers which develop from many different anatomic sites and are associated with different risk factors and genetic characteristics. The oral tongue squamous cell carcinoma (OTSCC) is one of the most common types of HNOSCC. It is significantly more aggressive than other forms of HNOSCC in terms of local invasion and spread. In this study we aim to identify specific transcriptomic signatures that associated with OTSCC. Keywords: Disease/Control analysis,Homo sapiens,Microarray,18254958,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE9844,38,,,,,,,,,,,,,,,,Y,,1,Has some format error
GSE143224,200143224,[HuEx-1.0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version];,Gene expression profile of laryngeal squamous cell carcinoma,The goal was to identify the differently expressed genes between laryngeal tumor and nonmalignant surrounding mucosa,Homo sapiens,Microarray,32085563,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143224,25,,,,,,,,,,,,,,,Y,,,1,
GSE25099,200025099,[HuEx-1.0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version];,Expression data from 57 patients with oral cancer and 22 normal persons,In order to aid the development of patient-tailored diagnostics and therapeutics we attempted to identify a genetic signature associated with disease prognosis in OSCC.  A genome-wide analysis of transcription with the Affymetrix GeneChip Human Gene 1.0 ST Array was conducted. In this dataset we include the expression data obtained from 57 specimens from patients with OSCC and 22 oral tissues from normal persons.,Homo sapiens,Microarray,21853135,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25099,79,,,,,,,,,,,,,,,,Y,,1,
GSE40020,200040020,[HuEx-1.0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version];,Gene expression characterization of HPV positive head and neck cancer to predict response to Chemoradiation,Background: Human papillomavirus has been shown to have a causal role in the development of head and neck squamous cell carcinoma and represents a distinct and well-defined pathology. While HPV-positive HNSCC is associated with a better response to treatment and prognosis a subset of patients do not respond favorably to current standard of care thus suffering unnecessary morbidity and delay to receive effective therapy. Methods: RNA from nineteen patients with HPV-positive HNSCC was subjected to gene expression analysis using Affymetrix microarrays. HPV-status was confirmed by detection of HPV16 E7 with RT-PCR. Results: In addition to specific genetic biomarkers (including LCE3D KRTDAP HMOX1 KRT19 MDK TSPAN1) differentially expressed genes were highly represented in the cell processes of genomic stability cell cycle and DNA damage. Conclusions: This pilot study suggests possible biomarkers that predict response to chemoradiation therapy. These data can potentially lead to an assay that can be used clinically to predict HPV-positive HNSCC patients that will not benefit from chemoradiation thus helping clinicians to lower morbidity and get selected patients to surgery faster.,Homo sapiens,Microarray,25481760,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40020,19,,,,,,Y,,,,,,,,,,,,1,
GSE59069,200059069,Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version);,OSCC whole genome expression by T stage,Differentially expressed genes between T4 and T1 stage human oral squamous cell carcinoma (OSCC),Homo sapiens,Microarray,26041877,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59069,36,,,,,,,,,,,,,Y,,,,,1,
GSE102995,200102995,Illumina HumanHT-12 WG-DASL V4.0 R2 expression beadchip;,Gene expression associated with panitumumab efficacy in squamous cell carcinoma of head and neck,Platinum-based chemotherapy plus cetuximab an anti-Epidermal Growth Factor Receptor (EGFR) monoclonal antibody (Mab) is usually offered to recurrent/metastatic (R/M) head-neck squamous cell carcinoma (HNSCC) patients with only a small portion experiencing durable responses.  The anti-EGFR-Mab panitumumab was used as single agent in platinum pre-treated R/M-HNSCC patients in a phase II trial (PANI01). By analyzing gene expression profiles of a selected retrospective series of HNSCC patients treated with cetuximab an anti-Epidermal Growth Factor Receptor (EGFR) monoclonal antibody (MAb) associated to chemotherapy we were able to propose that long progression-free survival (PFS) cases consistently belong to defined molecular subtypes such as Cluster3-hypoxia and Basal subtypes respectively defined by De Cecco et al [DeCecco; Oncotarget 2015] and Keck et al [Keck; CCR2015] while short-PFS cases are characterized by an over-activation of RAS signaling,Homo sapiens,Microarray,29909889,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102995,25,,,,,,,,,,,,,Y,,,,,1,
GSE37991,200037991,Illumina HumanRef-8 v3.0 expression beadchip;,Gene expression profiling of oral squamous cell carcinoma (OSCC),According to epidemiological studies a vast majority approximately 80%~90% of male OSCC patients in Taiwan habitually drink alcohol (A) and chew betel quid (B) and use cigarette (C). To assess the impact of these dietary factors on the transcriptom we conduct a high-throughput screen survey in an oral cancer cohort with exposure of A B and C. Results indicate several potential oncogenes and tumor suppressor genes are dysregulated in OSCC patients with ABC risk factors.,Homo sapiens,Microarray,23624915 25204733 23362108 31253192,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37991,80,,,,,,,,,,,,,,,,Y,,1,
GSE6631,200006631,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array;,Expression data from head and neck squamous cell carcinoma,Forty-four paired (from the same patient) samples of head and neck squamous cell carcinoma (HNSCC) and normal tissue were studied with Affymetrix U95A chips. A stringent multi-test approach combining 7 traditional and microarray-specific statistical tests was used to analyze the resultant data. Candidate genes were assigned to tiers of significance based on the number of statistical tests that each gene satisfied. Representative genes (both up-regulated and down-regulated) from each of the 3 tiers would be quantified with RT-PCR on both microarray-tested and new samples of HNSCC. The goal of this study is to identify reliable differentially-expressed genes on HNSCC and to testify our hypothesis whether or not a combinatorial approach (multi-tests) to analyzing microarray data can really identify differentially-expressed genes with fewer false-positives. Keywords: disease state; tumor vs. normal,Homo sapiens,Microarray,15170515,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6631,44,,,,,,,,,,,,,,,,,,0,
GSE2379,200002379,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array;[HG_U95A] Affymetrix Human Genome U95A Array;,Hypopharyngeal_cancer_transcriptome,Gene expression analysis of a unique HNSCC (Head and Neck Squamous Cell Carcinoma) localization the hypopharynx. Four normal and 34 tumor samples were analysed using Affymetrix HG-U95A microarrays containing probe sets representing ~12650 distinct transcription features. Keywords = HNSCC Hypopharynx Keywords: ordered,Homo sapiens,Microarray,14676830,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2379,38,,,,,,,,,,,,,,,,,,0,
GSE3292,200003292,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array;,Gene expression signature of HPV in head and neck squamous cell carcinoma,Introduction: Human Papilloma Virus (HPV) is associated with a subset of head and neck squamous cell carcinoma (HNSCC) between 15% and 35% of HNSCC harboring HPV almost exclusively of subtype 16. Demographic and exposure differences between HPV-positive (+) and negative (-) HNSCCs suggest that HPV(+) tumors may constitute a subclass with different biology while clinical differences have also been observed. In this study gene expression profiles of HPV(+) and (-) tumors were compared to further explore the biological effect of HPV in HNSCC. Methods: Thirty-six HNSCC tumors were analyzed for gene expression using Affymetrix Human 133U Plus 2.0 GeneChip and for HPV using consensus primers for HPV L1 E6 and E7 by PCR and RT-PCR. Results: Eight (22%) of 36 tumors were positive for HPV all of the HPV 16 subtype and the HPV positive samples also expressed viral HPV E6 mRNA determined by RT-PCR. Patients with HPV(+) HNSCCs were on average younger than those with HPV(-) tumors (mean age 50.2 vs. 58.7). Statistical analysis using Significance Analysis of Microarrays (SAM) based on HPV status as a supervising parameter resulted in a list of 91 genes that were differentially expressed with statistical significance. Results for a sub-set of these genes were verified by RT-PCR. Genes highly expressed in HPV(+) samples included cell cycle regulators (p16INK4A p18 and CDK2) and transcription factors (TAF7L RFC4 RPA2 and TFDP2). The microarray data were also investigated using DIGMap to map genes by chromosomal location. A large number of genes on chromosome 3q24-qter was found to be overrepresented in HPV(+) tumors. Conclusion: The gene expression profile associated with HPV reflects alterations in cell cycle and proliferation signals. Further investigation of differentially expressed genes may reveal the unique pathways in HPV(+) tumors that may explain the different natural history and biological properties of these tumors. These properties may be exploited as a target of novel therapeutic agents in HNSCC treatment. Keywords: HPV HNSCC head and neck cancer human human papilloma virus,Homo sapiens,Microarray,16467079 16943533,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3292,36,,,,,,,,,,,,,,,,,,0,
GSE33205,200033205,[HuEx-1.0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version];,Cancer Outlier Gene Profile Sets Elucidate Pathways and Patient-Specific Targets in Head and Neck Squamous Cell Carcinoma [Affymetrix HuEx1.0],This study integrated Affymetrix SNPchip data for CNV estimation Affymetrix HuEx1.0 data for gene expression estimation and Illumina HumanMethylation27k BeadChip data for promoter methylation to estimate pathway activity,Homo sapiens,Microarray,24351288 26884679,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE33205,69,,,,,,,,,,,,,,,,,,0,
